a_fortiori_Adv False 	a fortiori 	if you are wrong then, a fortiori, so am I 	if you are wrong then, [MASK], so am I
a_la_carte_Adv False 	à la carte 	we ate à la carte 	we ate [MASK]
a_la_mode_Adv False 	à la mode 	we served the apple pie à la mode 	we served the apple pie [MASK]
a_priori_1_A False 	a priori 	a posteriori demonstration 	a posteriori demonstration
aback_Adv False 	aback 	the ship came up into the wind with all yards aback 	the ship came up into the wind with all yards [MASK]
take_aback_V2 False 	take aback 	taken aback by the caustic remarks 	[MASK] by the caustic remarks
abaft_Adv False 	abaft 	ships with square sails sail fairly efficiently with the wind abaft 	ships with square sails sail fairly efficiently with the wind [MASK]
abandon_1_N False 	abandon 	she danced with abandon 	she danced with [MASK]
abandon_2_V2 False 	abandon 	abandon your life to God 	[MASK] your life to God
abandon_4_V2 False 	abandon 	he abandoned the thought of asking for her hand in marriage 	he [MASK] the thought of asking for her hand in marriage
abandon_5_V2 False 	abandon 	the mother abandoned her children 	the mother [MASK] her children
abandonment_2_N False 	abandonment 	his abandonment of his wife and children left them penniless 	his [MASK] of his wife and children left them penniless
abasement_1_N False 	abasement 	? 	?
abate_2_V False 	abate 	the storm abated 	the storm [MASK]
abatement_2_N False 	abatement 	laws enforcing noise abatement 	laws enforcing noise [MASK]
abaxial_A False 	abaxial 	the abaxial surface of a leaf is the underside or side facing away from the stem 	the surface [MASK] of a leaf is the underside or side facing away from the stem
abbreviate_2_V2 False 	abbreviate 	? 	?
abdicable_A False 	abdicable 	abdicable responsibilities 	responsibilities [MASK]
abdominal_A False 	abdominal 	abdominal muscles 	muscles [MASK]
abduct_V False 	abduct 	this muscle abducts 	this muscle [MASK]
aberrant_A False 	aberrant 	aberrant behaviour 	behaviour [MASK]
abhor_V2 False 	abhor 	she abhors cats 	she [MASK] cats
abhorrent_A False 	abhorrent 	an abhorrent deed 	a deed [MASK]
repulsive_1_A False 	repulsive 	the most repulsive character in recent novels 	the [MASK] character in recent novels
detestable_1_A False 	detestable 	the most detestable character in recent novels 	the [MASK] character in recent novels
abide_by_1_V2 False 	abide by 	abide by the rules 	[MASK] the rules
abject_1_A False 	abject 	abject cowardice 	cowardice [MASK]
abject_2_A False 	abject 	the most abject slaves joined in the revolt 	the [MASK] slaves joined in the revolt
abject_2_A False 	abject 	abject poverty 	poverty [MASK]
abject_3_A False 	abject 	abject surrender 	surrender [MASK]
abject_4_A False 	abject 	an abject apology 	an apology [MASK]
abjure_V2 False 	abjure 	she abjured her beliefs 	she [MASK] her beliefs
ablated_A False 	ablated 	the rocket's ablated head shield 	the rocket's head shield [MASK]
ablative_2_A False 	ablative 	ablative material on a rocket cone 	material [MASK] on a rocket cone
ablaze_1_A False 	ablaze 	? 	?
ablaze_2_A False 	ablaze 	streets ablaze with lighted Christmas-trees 	streets [MASK] with lighted Christmas-trees
ablaze_3_A False 	ablaze 	maple trees ablaze in autumn 	maple trees [MASK] in autumn
set_ablaze_V2 False 	set ablaze 	forests set ablaze by lightning 	forests [MASK] by lightning
aflame_2_A False 	aflame 	even the car's tires were aflame 	even the car's tires were [MASK]
able_1_A False 	able 	able to swim 	[MASK] to swim
able_1_A False 	able 	she was able to programme her computer 	she was [MASK] to programme her computer
able_1_A False 	able 	we were at last able to buy a car 	we were at last [MASK] to buy a car
able_1_A False 	able 	able to get a grant for the project 	[MASK] to get a grant for the project
able_2_A False 	able 	able teachers 	teachers [MASK]
able_3_A False 	able 	able to learn 	[MASK] to learn
able_3_A False 	able 	human beings are able to walk on two feet 	human beings are [MASK] to walk on two feet
able_3_A False 	able 	superman is able to leap tall buildings 	superman is [MASK] to leap tall buildings
able_4_A False 	able 	an able seaman 	a seaman [MASK]
able_bodied_A False 	able-bodied 	every able-bodied young man served in the army 	every young man [MASK] served in the army
ablutionary_A False 	ablutionary 	ablutionary rituals 	rituals [MASK]
